Team,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Year
Commanders,"$22,237,334 ","$2,428,948 ","$23,519,793 ","$8,387,911 ","$26,070,817 ","$82,644,803 ","$9,823,954 ","$11,615,247 ","$4,179,207 ","$7,736,030 ","$10,733,385 ","$44,087,823 ",2016
Steelers,"$25,334,805 ","$4,433,346 ","$16,885,326 ","$4,133,728 ","$28,392,364 ","$79,179,569 ","$14,224,578 ","$10,044,940 ","$20,449,321 ","$7,261,255 ","$6,603,699 ","$58,583,793 ",2016
Patriots,"$15,259,305 ","$5,014,925 ","$17,034,672 ","$12,753,868 ","$26,847,155 ","$76,909,925 ","$5,119,235 ","$14,912,527 ","$13,450,124 ","$12,755,434 ","$4,775,449 ","$51,012,769 ",2016
Chargers,"$17,180,000 ","$7,117,376 ","$18,017,691 ","$8,274,768 ","$25,663,138 ","$76,252,973 ","$17,468,654 ","$14,930,795 ","$5,378,711 ","$7,089,050 ","$18,462,884 ","$63,330,094 ",2016
Falcons,"$25,631,100 ","$1,852,741 ","$21,945,916 ","$5,486,900 ","$21,046,268 ","$75,962,925 ","$3,803,031 ","$20,886,504 ","$10,513,747 ","$4,903,067 ","$6,580,038 ","$46,686,387 ",2016
Vikings,"$12,430,538 ","$13,666,191 ","$8,596,564 ","$7,804,564 ","$32,879,606 ","$75,377,463 ","$11,885,987 ","$16,151,461 ","$11,877,574 ","$12,925,603 ","$16,485,260 ","$69,325,885 ",2016
Bears,"$20,140,353 ","$2,164,522 ","$23,144,751 ","$4,465,009 ","$25,002,276 ","$74,916,911 ","$10,499,728 ","$23,295,184 ","$11,928,466 ","$3,785,524 ","$9,703,965 ","$59,212,867 ",2016
Panthers,"$21,450,000 ","$10,958,863 ","$8,550,593 ","$8,019,942 ","$25,130,242 ","$74,109,640 ","$9,915,073 ","$5,907,171 ","$18,305,233 ","$5,817,094 ","$3,505,394 ","$43,449,965 ",2016
Colts,"$19,980,000 ","$5,551,333 ","$14,669,690 ","$11,144,550 ","$20,978,970 ","$72,324,543 ","$11,141,107 ","$17,579,573 ","$6,160,859 ","$7,650,838 ","$13,866,511 ","$56,398,888 ",2016
Bengals,"$14,195,413 ","$7,582,248 ","$17,965,568 ","$4,895,878 ","$26,963,355 ","$71,602,462 ","$15,774,614 ","$15,267,615 ","$15,238,247 ","$10,932,963 ","$20,040,214 ","$77,253,653 ",2016
Buccaneers,"$8,192,029 ","$9,960,806 ","$20,084,145 ","$4,575,686 ","$28,332,177 ","$71,144,843 ","$18,489,165 ","$14,390,783 ","$15,028,993 ","$5,670,300 ","$21,537,490 ","$75,116,731 ",2016
Cardinals,"$20,967,647 ","$5,171,763 ","$19,073,522 ","$5,942,819 ","$19,298,535 ","$70,454,286 ","$23,704,115 ","$12,115,452 ","$6,216,592 ","$11,210,539 ","$16,623,998 ","$69,870,696 ",2016
Packers,"$19,910,320 ","$4,891,731 ","$20,545,094 ","$3,544,204 ","$20,810,535 ","$69,701,884 ","$14,048,475 ","$32,922,762 ","$1,857,299 ","$10,976,780 ","$16,459,880 ","$76,265,196 ",2016
Raiders,"$4,623,009 ","$2,818,849 ","$19,361,975 ","$5,870,639 ","$36,972,041 ","$69,646,513 ","$10,767,380 ","$19,443,717 ","$7,072,959 ","$12,697,085 ","$20,847,900 ","$70,829,041 ",2016
Lions,"$23,338,824 ","$3,971,695 ","$17,699,492 ","$6,514,242 ","$17,174,595 ","$68,698,848 ","$8,782,820 ","$8,535,944 ","$13,539,421 ","$11,189,104 ","$8,071,148 ","$50,118,437 ",2016
Giants,"$25,595,300 ","$9,665,597 ","$15,930,551 ","$3,014,714 ","$13,382,316 ","$67,588,478 ","$9,138,463 ","$24,753,166 ","$12,393,270 ","$3,598,913 ","$21,773,449 ","$71,657,261 ",2016
Jaguars,"$10,864,196 ","$5,551,588 ","$14,724,668 ","$11,943,324 ","$23,735,090 ","$66,818,866 ","$33,501,913 ","$7,011,441 ","$11,297,021 ","$7,647,569 ","$16,930,497 ","$76,388,441 ",2016
Ravens,"$24,056,900 ","$2,492,212 ","$13,619,295 ","$8,561,035 ","$18,007,403 ","$66,736,845 ","$7,240,013 ","$17,109,523 ","$4,802,149 ","$18,916,487 ","$13,055,152 ","$61,123,324 ",2016
Jets,"$10,107,898 ","$5,337,110 ","$20,760,335 ","$2,530,923 ","$27,844,419 ","$66,580,685 ","$21,908,891 ","$2,652,225 ","$10,859,069 ","$7,858,962 ","$24,531,901 ","$67,811,048 ",2016
Eagles,"$9,960,643 ","$10,317,028 ","$4,931,355 ","$6,394,996 ","$33,687,976 ","$65,291,998 ","$9,762,192 ","$19,854,836 ","$12,105,117 ","$11,531,668 ","$7,119,979 ","$60,373,792 ",2016
